time, x0, y0, z0, x1, y1, z1 
0.26200, -0.59780, -0.43758, 1.07964, 0.19348, 0.12913, 1.30507  
0.26300, -0.71522, -0.44449, 1.06487, 0.26997, 0.15287, 1.54819  
0.26400, -0.70965, -0.52063, 1.05871, 0.22657, 0.20390, 1.48418  
0.26500, -0.70417, -0.52635, 1.02192, 0.18045, 0.21551, 1.39721  
0.26600, -0.67924, -0.40207, 1.01242, 0.12903, 0.17487, 1.53273  
0.26700, -0.76765, -0.40089, 1.07910, 0.11324, 0.14610, 1.42025  
0.26800, -0.66135, -0.45708, 1.12501, 0.13845, 0.19299, 1.46345  
0.26900, -0.80421, -0.43041, 1.17188, 0.11229, 0.17025, 1.41155  
0.27000, -0.80959, -0.32692, 1.18250, 0.12634, 0.20956, 1.50909  
0.27100, -0.83796, -0.32345, 1.15152, 0.11114, 0.23811, 1.53545  
0.27200, -0.76996, -0.31507, 1.16781, 0.09260, 0.22642, 1.41413  
0.27300, -0.88413, -0.32778, 1.26669, 0.12056, 0.19043, 1.33011  
0.27400, -0.83912, -0.35330, 1.41233, 0.15127, 0.22999, 1.49401  
0.27500, -0.64718, -0.36840, 1.46246, 0.04425, 0.17002, 1.37146  
0.27600, -0.87090, -0.25352, 1.49921, 0.05911, 0.23575, 1.41840  
0.27700, -0.77927, -0.19886, 1.51575, 0.03716, 0.20638, 1.37964  
0.27800, -0.80524, -0.33220, 1.54507, 0.07759, 0.23783, 1.33137  
0.27900, -0.80139, -0.23952, 1.48941, 0.05926, 0.26585, 1.51329  
0.28000, -0.92201, -0.22501, 1.51321, -0.09529, 0.14544, 1.37594  
0.28100, -0.81207, -0.19571, 1.53641, 0.07893, 0.20132, 1.40446  
0.28200, -0.80877, -0.15629, 1.59632, 0.03635, 0.24927, 1.41544  
0.28300, -0.83334, -0.16710, 1.58962, 0.03620, 0.28984, 1.40751  
0.28400, -0.89182, -0.10298, 1.60990, 0.05901, 0.32377, 1.38697  
0.28500, -0.89155, -0.09241, 1.58577, -0.03172, 0.33136, 1.43326  
0.28600, -0.81938, -0.11923, 1.59855, -0.00933, 0.22167, 1.40188  
0.28700, -0.90258, -0.15091, 1.62701, -0.03305, 0.28772, 1.48243  
0.28800, -0.80374, -0.16735, 1.59958, -0.01619, 0.24260, 1.39429  
0.28900, -0.85135, -0.11314, 1.57084, -0.01915, 0.27229, 1.40316  
0.29000, -0.81926, -0.09068, 1.56397, -0.01799, 0.24759, 1.30226  
0.29100, -0.86618, -0.14975, 1.58617, -0.04917, 0.27599, 1.39557  
