time, x0, y0, z0, x1, y1, z1 
0.13871, -0.00994, -0.82102, 0.54922, 0.00000, 0.00000, -nan  
0.13941, -0.00774, -0.82052, 0.55176, 0.00000, 0.00000, -nan  
0.13969, -0.00969, -0.82325, 0.55315, 0.00000, 0.00000, -nan  
0.14020, -0.00666, -0.82039, 0.55191, 0.00000, 0.00000, -nan  
0.14067, -0.00837, -0.81942, 0.55143, 0.00000, 0.00000, -nan  
0.14120, -0.01030, -0.82182, 0.54873, 0.00000, 0.00000, -nan  
0.14170, -0.00517, -0.82037, 0.55197, 0.00000, 0.00000, -nan  
0.14216, -0.00898, -0.82253, 0.55092, 0.00000, 0.00000, -nan  
0.14264, -0.00952, -0.82394, 0.55082, 0.00000, 0.00000, -nan  
0.14313, -0.00599, -0.82417, 0.55006, 0.00000, 0.00000, -nan  
0.14365, -0.01129, -0.82489, 0.54964, 0.00000, 0.00000, -nan  
0.14464, -0.00849, -0.82226, 0.55019, 0.00000, 0.00000, -nan  
0.14512, -0.00946, -0.82205, 0.55040, 0.00000, 0.00000, -nan  
0.14565, -0.00896, -0.82375, 0.55056, 0.00000, 0.00000, -nan  
0.14612, -0.00923, -0.82325, 0.55183, 0.00000, 0.00000, -nan  
0.14712, -0.00736, -0.82384, 0.54939, 0.00000, 0.00000, -nan  
0.14762, -0.00853, -0.82298, 0.54993, 0.00000, 0.00000, -nan  
0.14811, -0.01070, -0.81774, 0.55122, 0.00000, 0.00000, -nan  
0.14859, -0.01045, -0.82148, 0.55300, 0.00000, 0.00000, -nan  
0.14908, -0.00957, -0.82066, 0.55136, 0.00000, 0.00000, -nan  
0.14962, -0.01127, -0.82155, 0.55101, 0.00000, 0.00000, -nan  
0.15009, -0.00818, -0.81896, 0.55019, 0.00000, 0.00000, -nan  
0.15056, -0.00765, -0.82256, 0.55248, 0.00000, 0.00000, -nan  
0.15206, -0.00792, -0.82468, 0.55099, 0.00000, 0.00000, -nan  
0.15255, -0.00759, -0.82054, 0.54907, 0.00000, 0.00000, -nan  
0.15305, -0.00761, -0.82151, 0.54853, 0.00000, 0.00000, -nan  
0.15355, -0.00866, -0.82376, 0.55124, 0.00000, 0.00000, -nan  
0.15408, -0.00862, -0.82449, 0.54914, 0.00000, 0.00000, -nan  
0.15506, -0.00862, -0.82172, 0.54977, 0.00000, 0.00000, -nan  
0.15605, -0.01442, -0.82081, 0.54743, 0.00000, 0.00000, -nan  
0.15652, -0.01379, -0.82188, 0.54960, 0.00000, 0.00000, -nan  
0.15705, -0.01055, -0.81970, 0.55094, 0.00000, 0.00000, -nan  
0.15753, -0.00864, -0.82388, 0.54987, 0.00000, 0.00000, -nan  
0.15800, -0.00683, -0.82418, 0.54745, 0.00000, 0.00000, -nan  
0.15854, -0.00956, -0.82525, 0.54865, 0.00000, 0.00000, -nan  
0.15901, -0.00959, -0.82571, 0.55143, 0.00000, 0.00000, -nan  
0.16002, -0.00898, -0.82468, 0.54745, 0.00000, 0.00000, -nan  
0.16049, -0.00921, -0.82428, 0.54880, 0.00000, 0.00000, -nan  
0.16101, -0.00776, -0.82731, 0.54680, 0.00000, 0.00000, -nan  
0.16150, -0.00500, -0.82533, 0.54882, 0.00000, 0.00000, -nan  
0.16201, -0.00902, -0.82241, 0.54726, 0.00000, 0.00000, -nan  
0.16248, -0.01070, -0.82211, 0.55103, 0.00000, 0.00000, -nan  
0.16299, -0.00818, -0.82163, 0.54956, 0.00000, 0.00000, -nan  
0.16345, -0.00921, -0.82180, 0.54956, 0.00000, 0.00000, -nan  
0.16398, -0.01062, -0.82298, 0.54909, 0.00000, 0.00000, -nan  
0.16449, -0.01026, -0.82397, 0.54890, 0.00000, 0.00000, -nan  
0.16497, -0.01194, -0.82310, 0.54939, 0.00000, 0.00000, -nan  
0.16545, -0.00935, -0.82552, 0.55016, 0.00000, 0.00000, -nan  
0.16593, -0.00822, -0.82676, 0.54979, 0.00000, 0.00000, -nan  
0.16646, -0.00988, -0.82733, 0.54873, 0.00000, 0.00000, -nan  
0.16694, -0.00916, -0.82472, 0.54991, 0.00000, 0.00000, -nan  
0.16745, -0.01152, -0.82418, 0.54914, 0.00000, 0.00000, -nan  
0.16793, -0.00937, -0.82426, 0.54741, 0.00000, 0.00000, -nan  
0.16894, -0.00940, -0.82119, 0.54905, 0.00000, 0.00000, -nan  
0.16941, -0.00988, -0.82287, 0.54876, 0.00000, 0.00000, -nan  
0.16993, -0.00950, -0.82312, 0.54817, 0.00000, 0.00000, -nan  
0.17090, -0.00908, -0.82216, 0.55111, 0.00000, 0.00000, -nan  
0.17142, -0.00719, -0.82531, 0.55267, 0.00000, 0.00000, -nan  
0.17189, -0.00988, -0.82205, 0.54964, 0.00000, 0.00000, -nan  
0.17239, -0.01102, -0.82380, 0.54951, 0.00000, 0.00000, -nan  
0.17287, -0.01144, -0.82167, 0.54981, 0.00000, 0.00000, -nan  
0.17340, -0.01122, -0.82167, 0.55037, 0.00000, 0.00000, -nan  
0.17390, -0.00875, -0.82367, 0.55147, 0.00000, 0.00000, -nan  
0.17436, -0.00694, -0.82165, 0.54796, 0.00000, 0.00000, -nan  
0.17486, -0.00910, -0.82174, 0.54991, 0.00000, 0.00000, -nan  
0.17536, -0.00881, -0.82336, 0.55035, 0.00000, 0.00000, -nan  
